date_exit,port_ret_raw,beta,idx_ret,hedged_ret,scale,turnover,cost,ret_net,curve_net,curve_idx
2024-02-28,-0.007551170968388036,0.011269525234851535,0.0739480076085752,-0.008384529906199867,0.861691662515105,1.0000000000000002,0.0012000000000000001,-0.00842487951428098,0.991575120485719,1.0739480076085752
2024-03-28,0.005635827379761841,-0.015532447389633004,0.07810749397917724,0.006849027920729488,0.8479743720598082,0.742857142857143,0.0008914285714285716,0.00491637157887211,0.9964500722263917,1.1578313951468115
2024-04-26,0.015083434049785278,-0.023003880048237228,0.02982710948117603,0.015769573298475892,0.8357829811967564,0.8000000000000002,0.0009600000000000001,0.012219940983600948,1.0086266333021032,1.1923661589305983
2024-05-28,0.007973472099740558,-0.01224678739612373,0.043739160402597184,0.00850913629807612,2.0,1.1428571428571426,0.001371428571428571,0.015646844024723668,1.0244084569125635,1.2445192536146923
2024-06-28,0.009015178634647833,0.0067790299132090065,0.03169123599601326,0.008800342797844293,2.0,0.742857142857143,0.0008914285714285716,0.016709257024260016,1.0415255611169412,1.2839596069825778
2024-07-26,0.006998939811804964,-0.008974721879591687,0.062366710383054094,0.0075586636920379185,2.0,0.6285714285714287,0.0007542857142857144,0.014363041669790123,1.0564850361514153,1.3640359439348002
2024-08-28,0.0047348760218298,0.013498300797938007,-0.040654408210306976,0.005283641452614684,2.0,1.1999999999999995,0.0014399999999999992,0.00912728290522937,1.0661278739615108,1.3085818698565435
2024-09-27,0.002358487939470392,0.016249334581393163,0.006229065407591111,0.002257269771533062,2.0,0.8571428571428573,0.0010285714285714286,0.0034859681144946953,1.0698443617361146,1.3167331119150678
2024-10-28,0.010441275597036108,0.011548025665649327,0.05026337110360328,0.00986083289748964,2.0,0.9714285714285716,0.0011657142857142858,0.018555951509264992,1.0896963418349506,1.3829165569636575
2024-11-28,-0.0028695565442085893,0.0013928117828531632,0.030344930328835493,-0.0029118213207204495,2.0,0.6285714285714287,0.0007542857142857144,-0.006577928355726613,1.0825283973688629,1.4248810635353126
2024-12-27,0.02225044356616158,0.03261288486492216,0.024241428402025856,0.02145986065272506,2.0,0.742857142857143,0.0008914285714285716,0.04202829273402155,1.1280252177463728,1.4594222158184063
2025-01-28,0.0003058755036638293,0.02386008148156441,-0.02353630522924887,0.0008674536642086779,2.0,1.3142857142857134,0.001577142857142856,0.0001577644712744998,1.128203180048435,1.4250728090885576
2025-02-28,0.004851349148839311,0.014036677924940682,0.09221777657467382,0.003556917920106475,2.0,0.742857142857143,0.0008914285714285716,0.0062224072687843785,1.135223319716634,1.556489854999729
2025-03-28,-0.0051691726687694145,0.008563392236619123,-0.004765231945650463,-0.005128366118520342,2.0,0.6285714285714287,0.0007542857142857144,-0.011011017951326398,1.1227233553644698,1.5490728198196035
2025-04-28,0.003330866117823648,-0.031865505912967454,-0.02517391344628566,0.0025286866300485013,2.0,1.0857142857142856,0.0013028571428571427,0.0037545161172398596,1.1269386382973874,1.5100765947314712
2025-05-28,-0.007976011113018135,0.009129797611587793,0.01802682233785943,-0.00814059235254284,2.0,0.6857142857142858,0.000822857142857143,-0.017104041847942824,1.1076634326678851,1.5372984772212552
2025-06-27,-0.0003221710564517982,0.016984162287571887,0.003330151518854887,-0.0003787308902902336,2.0,0.6285714285714287,0.0007542857142857144,-0.0015117474948661816,1.1059889252483945,1.5424179140801069
2025-07-28,0.004776066035406009,-0.009629642346151691,0.08968542644957105,0.005639704615777471,2.0,1.1428571428571426,0.001371428571428571,0.009907980660126372,1.1169470421300696,1.680750322467839
